game_num,agent_name,action,action_label
0,HeuristicAgent,1,call
0,MCTS_Agent,1,call
0,HeuristicAgent,1,call
0,MCTS_Agent,3,raise_full_pot
0,HeuristicAgent,1,call
0,HeuristicAgent,1,call
0,MCTS_Agent,3,raise_full_pot
0,HeuristicAgent,1,call
0,HeuristicAgent,1,call
0,MCTS_Agent,3,raise_full_pot
0,HeuristicAgent,1,call
1,HeuristicAgent,1,call
1,MCTS_Agent,2,raise_half_pot
1,HeuristicAgent,1,call
1,HeuristicAgent,1,call
1,MCTS_Agent,3,raise_full_pot
1,HeuristicAgent,1,call
1,HeuristicAgent,1,call
1,MCTS_Agent,2,raise_half_pot
1,HeuristicAgent,1,call
1,HeuristicAgent,1,call
1,MCTS_Agent,2,raise_half_pot
1,HeuristicAgent,1,call
2,HeuristicAgent,1,call
2,MCTS_Agent,3,raise_full_pot
2,HeuristicAgent,1,call
2,HeuristicAgent,1,call
2,MCTS_Agent,2,raise_half_pot
2,HeuristicAgent,1,call
2,HeuristicAgent,1,call
2,MCTS_Agent,2,raise_half_pot
2,HeuristicAgent,1,call
2,HeuristicAgent,1,call
2,MCTS_Agent,3,raise_full_pot
2,HeuristicAgent,1,call
3,HeuristicAgent,1,call
3,MCTS_Agent,2,raise_half_pot
3,HeuristicAgent,1,call
3,HeuristicAgent,1,call
3,MCTS_Agent,3,raise_full_pot
3,HeuristicAgent,1,call
3,HeuristicAgent,1,call
3,MCTS_Agent,3,raise_full_pot
3,HeuristicAgent,1,call
3,HeuristicAgent,1,call
3,MCTS_Agent,2,raise_half_pot
3,HeuristicAgent,1,call
4,HeuristicAgent,1,call
4,MCTS_Agent,2,raise_half_pot
4,HeuristicAgent,1,call
4,HeuristicAgent,1,call
4,MCTS_Agent,3,raise_full_pot
4,HeuristicAgent,1,call
4,HeuristicAgent,1,call
4,MCTS_Agent,2,raise_half_pot
4,HeuristicAgent,1,call
4,HeuristicAgent,1,call
4,MCTS_Agent,2,raise_half_pot
4,HeuristicAgent,1,call
5,HeuristicAgent,1,call
5,MCTS_Agent,2,raise_half_pot
5,HeuristicAgent,1,call
5,HeuristicAgent,1,call
5,MCTS_Agent,2,raise_half_pot
5,HeuristicAgent,1,call
5,HeuristicAgent,2,raise_half_pot
5,MCTS_Agent,3,raise_full_pot
5,HeuristicAgent,3,raise_full_pot
5,MCTS_Agent,2,raise_half_pot
5,HeuristicAgent,1,call
5,HeuristicAgent,1,call
5,MCTS_Agent,1,call
6,HeuristicAgent,1,call
6,MCTS_Agent,3,raise_full_pot
6,HeuristicAgent,1,call
6,HeuristicAgent,1,call
6,MCTS_Agent,2,raise_half_pot
6,HeuristicAgent,1,call
6,HeuristicAgent,1,call
6,MCTS_Agent,2,raise_half_pot
6,HeuristicAgent,1,call
6,HeuristicAgent,2,raise_half_pot
6,MCTS_Agent,2,raise_half_pot
6,HeuristicAgent,1,call
7,HeuristicAgent,1,call
7,MCTS_Agent,2,raise_half_pot
7,HeuristicAgent,1,call
7,HeuristicAgent,1,call
7,MCTS_Agent,3,raise_full_pot
7,HeuristicAgent,1,call
7,HeuristicAgent,2,raise_half_pot
7,MCTS_Agent,2,raise_half_pot
7,HeuristicAgent,2,raise_half_pot
7,MCTS_Agent,2,raise_half_pot
7,HeuristicAgent,1,call
7,HeuristicAgent,1,call
7,MCTS_Agent,1,call
8,HeuristicAgent,1,call
8,MCTS_Agent,2,raise_half_pot
8,HeuristicAgent,1,call
8,HeuristicAgent,1,call
8,MCTS_Agent,3,raise_full_pot
8,HeuristicAgent,1,call
8,HeuristicAgent,2,raise_half_pot
8,MCTS_Agent,2,raise_half_pot
8,HeuristicAgent,2,raise_half_pot
8,MCTS_Agent,2,raise_half_pot
8,HeuristicAgent,1,call
8,HeuristicAgent,1,call
8,MCTS_Agent,1,call
9,HeuristicAgent,1,call
9,MCTS_Agent,2,raise_half_pot
9,HeuristicAgent,1,call
9,HeuristicAgent,2,raise_half_pot
9,MCTS_Agent,2,raise_half_pot
9,HeuristicAgent,2,raise_half_pot
9,MCTS_Agent,2,raise_half_pot
9,HeuristicAgent,2,raise_half_pot
9,MCTS_Agent,2,raise_half_pot
9,HeuristicAgent,2,raise_half_pot
9,MCTS_Agent,1,call
9,HeuristicAgent,1,call
9,MCTS_Agent,0,fold
10,HeuristicAgent,1,call
10,MCTS_Agent,2,raise_half_pot
10,HeuristicAgent,1,call
10,HeuristicAgent,1,call
10,MCTS_Agent,2,raise_half_pot
10,HeuristicAgent,1,call
10,HeuristicAgent,2,raise_half_pot
10,MCTS_Agent,3,raise_full_pot
10,HeuristicAgent,3,raise_full_pot
10,MCTS_Agent,2,raise_half_pot
10,HeuristicAgent,1,call
10,HeuristicAgent,1,call
10,MCTS_Agent,4,all_in
10,HeuristicAgent,1,call
11,HeuristicAgent,1,call
11,MCTS_Agent,2,raise_half_pot
11,HeuristicAgent,1,call
11,HeuristicAgent,2,raise_half_pot
11,MCTS_Agent,2,raise_half_pot
11,HeuristicAgent,2,raise_half_pot
11,MCTS_Agent,2,raise_half_pot
11,HeuristicAgent,2,raise_half_pot
11,MCTS_Agent,2,raise_half_pot
11,HeuristicAgent,2,raise_half_pot
11,MCTS_Agent,1,call
11,HeuristicAgent,1,call
11,MCTS_Agent,1,call
11,HeuristicAgent,1,call
11,MCTS_Agent,4,all_in
11,HeuristicAgent,1,call
12,HeuristicAgent,1,call
12,MCTS_Agent,2,raise_half_pot
12,HeuristicAgent,1,call
12,HeuristicAgent,1,call
12,MCTS_Agent,1,call
12,HeuristicAgent,1,call
12,MCTS_Agent,3,raise_full_pot
12,HeuristicAgent,1,call
12,HeuristicAgent,1,call
12,MCTS_Agent,2,raise_half_pot
12,HeuristicAgent,1,call
13,HeuristicAgent,1,call
13,MCTS_Agent,1,call
13,HeuristicAgent,1,call
13,MCTS_Agent,2,raise_half_pot
13,HeuristicAgent,1,call
13,HeuristicAgent,1,call
13,MCTS_Agent,2,raise_half_pot
13,HeuristicAgent,1,call
13,HeuristicAgent,2,raise_half_pot
13,MCTS_Agent,2,raise_half_pot
13,HeuristicAgent,2,raise_half_pot
13,MCTS_Agent,2,raise_half_pot
13,HeuristicAgent,2,raise_half_pot
13,MCTS_Agent,1,call
14,HeuristicAgent,1,call
14,MCTS_Agent,2,raise_half_pot
14,HeuristicAgent,1,call
14,HeuristicAgent,1,call
14,MCTS_Agent,1,call
14,HeuristicAgent,1,call
14,MCTS_Agent,2,raise_half_pot
14,HeuristicAgent,1,call
14,HeuristicAgent,1,call
14,MCTS_Agent,2,raise_half_pot
14,HeuristicAgent,1,call
15,HeuristicAgent,0,fold
16,HeuristicAgent,1,call
16,MCTS_Agent,2,raise_half_pot
16,HeuristicAgent,1,call
16,HeuristicAgent,2,raise_half_pot
16,MCTS_Agent,2,raise_half_pot
16,HeuristicAgent,2,raise_half_pot
16,MCTS_Agent,2,raise_half_pot
16,HeuristicAgent,2,raise_half_pot
16,MCTS_Agent,2,raise_half_pot
16,HeuristicAgent,2,raise_half_pot
16,MCTS_Agent,1,call
16,HeuristicAgent,1,call
16,MCTS_Agent,0,fold
17,HeuristicAgent,1,call
17,MCTS_Agent,3,raise_full_pot
17,HeuristicAgent,1,call
17,HeuristicAgent,1,call
17,MCTS_Agent,0,fold
18,HeuristicAgent,1,call
18,MCTS_Agent,3,raise_full_pot
18,HeuristicAgent,1,call
18,HeuristicAgent,1,call
18,MCTS_Agent,2,raise_half_pot
18,HeuristicAgent,1,call
18,HeuristicAgent,1,call
18,MCTS_Agent,3,raise_full_pot
18,HeuristicAgent,1,call
18,HeuristicAgent,2,raise_half_pot
18,MCTS_Agent,4,all_in
18,HeuristicAgent,1,call
19,HeuristicAgent,0,fold
20,HeuristicAgent,0,fold
21,HeuristicAgent,1,call
21,MCTS_Agent,3,raise_full_pot
21,HeuristicAgent,1,call
21,HeuristicAgent,1,call
21,MCTS_Agent,3,raise_full_pot
21,HeuristicAgent,1,call
