game_num,agent_name,chip_delta,won
0,HeuristicAgent,-54,False
0,MCTS_Agent,54,True
1,HeuristicAgent,-48,False
1,MCTS_Agent,48,True
2,HeuristicAgent,-72,False
2,MCTS_Agent,72,True
3,HeuristicAgent,72,True
3,MCTS_Agent,-72,False
4,HeuristicAgent,48,True
4,MCTS_Agent,-48,False
5,HeuristicAgent,-80,False
5,MCTS_Agent,80,True
6,HeuristicAgent,-60,False
6,MCTS_Agent,60,True
7,HeuristicAgent,70,True
7,MCTS_Agent,-70,False
8,HeuristicAgent,-70,False
8,MCTS_Agent,70,True
9,HeuristicAgent,82,True
9,MCTS_Agent,-82,False
10,HeuristicAgent,-100,False
10,MCTS_Agent,100,True
11,HeuristicAgent,100,True
11,MCTS_Agent,-100,False
12,HeuristicAgent,-24,False
12,MCTS_Agent,24,True
13,HeuristicAgent,74,True
13,MCTS_Agent,-74,False
14,HeuristicAgent,16,True
14,MCTS_Agent,-16,False
15,HeuristicAgent,-1,False
15,MCTS_Agent,1,True
16,HeuristicAgent,82,True
16,MCTS_Agent,-82,False
17,HeuristicAgent,6,True
17,MCTS_Agent,-6,False
18,HeuristicAgent,-100,False
18,MCTS_Agent,100,True
19,HeuristicAgent,-1,False
19,MCTS_Agent,1,True
20,HeuristicAgent,-1,False
20,MCTS_Agent,1,True
21,HeuristicAgent,-54,False
21,MCTS_Agent,54,True
22,HeuristicAgent,-1,False
22,MCTS_Agent,1,True
23,HeuristicAgent,-72,False
23,MCTS_Agent,72,True
24,HeuristicAgent,100,True
24,MCTS_Agent,-100,False
25,HeuristicAgent,94,True
25,MCTS_Agent,-94,False
26,HeuristicAgent,-90,False
26,MCTS_Agent,90,True
27,HeuristicAgent,85,True
27,MCTS_Agent,-85,False
28,HeuristicAgent,-72,False
28,MCTS_Agent,72,True
29,HeuristicAgent,-80,False
29,MCTS_Agent,80,True
30,HeuristicAgent,-1,False
30,MCTS_Agent,1,True
31,HeuristicAgent,83,True
31,MCTS_Agent,-83,False
32,HeuristicAgent,-100,False
32,MCTS_Agent,100,True
33,HeuristicAgent,-96,False
33,MCTS_Agent,96,True
34,HeuristicAgent,-100,False
34,MCTS_Agent,100,True
35,HeuristicAgent,-96,False
35,MCTS_Agent,96,True
36,HeuristicAgent,90,True
36,MCTS_Agent,-90,False
37,HeuristicAgent,74,True
37,MCTS_Agent,-74,False
38,HeuristicAgent,100,True
38,MCTS_Agent,-100,False
39,HeuristicAgent,70,True
39,MCTS_Agent,-70,False
40,HeuristicAgent,100,True
40,MCTS_Agent,-100,False
41,HeuristicAgent,-36,False
41,MCTS_Agent,36,True
42,HeuristicAgent,96,True
42,MCTS_Agent,-96,False
43,HeuristicAgent,-1,False
43,MCTS_Agent,1,True
44,HeuristicAgent,99,True
44,MCTS_Agent,-99,False
45,HeuristicAgent,88,True
45,MCTS_Agent,-88,False
46,HeuristicAgent,99,True
46,MCTS_Agent,-99,False
47,HeuristicAgent,40,True
47,MCTS_Agent,-40,False
48,HeuristicAgent,-1,False
48,MCTS_Agent,1,True
49,HeuristicAgent,-24,False
49,MCTS_Agent,24,True
50,HeuristicAgent,0,False
50,MCTS_Agent,0,False
51,HeuristicAgent,-1,False
51,MCTS_Agent,1,True
52,HeuristicAgent,53,True
52,MCTS_Agent,-53,False
53,HeuristicAgent,-80,False
53,MCTS_Agent,80,True
54,HeuristicAgent,-96,False
54,MCTS_Agent,96,True
55,HeuristicAgent,-80,False
55,MCTS_Agent,80,True
56,HeuristicAgent,-1,False
56,MCTS_Agent,1,True
57,HeuristicAgent,-1,False
57,MCTS_Agent,1,True
58,HeuristicAgent,-1,False
58,MCTS_Agent,1,True
59,HeuristicAgent,96,True
59,MCTS_Agent,-96,False
60,HeuristicAgent,-96,False
60,MCTS_Agent,96,True
61,HeuristicAgent,-1,False
61,MCTS_Agent,1,True
62,HeuristicAgent,2,True
62,MCTS_Agent,-2,False
63,HeuristicAgent,100,True
63,MCTS_Agent,-100,False
64,HeuristicAgent,-74,False
64,MCTS_Agent,74,True
65,HeuristicAgent,-1,False
65,MCTS_Agent,1,True
66,HeuristicAgent,91,True
66,MCTS_Agent,-91,False
67,HeuristicAgent,70,True
67,MCTS_Agent,-70,False
68,HeuristicAgent,-16,False
68,MCTS_Agent,16,True
69,HeuristicAgent,-1,False
69,MCTS_Agent,1,True
70,HeuristicAgent,-1,False
70,MCTS_Agent,1,True
71,HeuristicAgent,-1,False
71,MCTS_Agent,1,True
72,HeuristicAgent,-1,False
72,MCTS_Agent,1,True
73,HeuristicAgent,100,True
73,MCTS_Agent,-100,False
74,HeuristicAgent,2,True
74,MCTS_Agent,-2,False
75,HeuristicAgent,-1,False
75,MCTS_Agent,1,True
76,HeuristicAgent,94,True
76,MCTS_Agent,-94,False
77,HeuristicAgent,-96,False
77,MCTS_Agent,96,True
78,HeuristicAgent,-72,False
78,MCTS_Agent,72,True
79,HeuristicAgent,100,True
79,MCTS_Agent,-100,False
80,HeuristicAgent,-100,False
80,MCTS_Agent,100,True
81,HeuristicAgent,80,True
81,MCTS_Agent,-80,False
82,HeuristicAgent,60,True
82,MCTS_Agent,-60,False
83,HeuristicAgent,94,True
83,MCTS_Agent,-94,False
84,HeuristicAgent,80,True
84,MCTS_Agent,-80,False
85,HeuristicAgent,90,True
85,MCTS_Agent,-90,False
86,HeuristicAgent,80,True
86,MCTS_Agent,-80,False
87,HeuristicAgent,60,True
87,MCTS_Agent,-60,False
88,HeuristicAgent,96,True
88,MCTS_Agent,-96,False
89,HeuristicAgent,-24,False
89,MCTS_Agent,24,True
90,HeuristicAgent,12,True
90,MCTS_Agent,-12,False
