game_num,agent_name,action,action_label
0,MCCFRAgent_1,3,raise_full_pot
0,MCCFRAgent_2,3,raise_full_pot
0,MCCFRAgent_1,2,raise_half_pot
0,MCCFRAgent_2,2,raise_half_pot
0,MCCFRAgent_1,2,raise_half_pot
0,MCCFRAgent_2,4,all_in
0,MCCFRAgent_1,1,call
1,MCCFRAgent_1,3,raise_full_pot
1,MCCFRAgent_2,2,raise_half_pot
1,MCCFRAgent_1,0,fold
2,MCCFRAgent_1,4,all_in
2,MCCFRAgent_2,1,call
3,MCCFRAgent_1,3,raise_full_pot
3,MCCFRAgent_2,2,raise_half_pot
3,MCCFRAgent_1,3,raise_full_pot
3,MCCFRAgent_2,4,all_in
3,MCCFRAgent_1,1,call
4,MCCFRAgent_1,1,call
4,MCCFRAgent_2,2,raise_half_pot
4,MCCFRAgent_1,3,raise_full_pot
4,MCCFRAgent_2,1,call
4,MCCFRAgent_1,3,raise_full_pot
4,MCCFRAgent_2,3,raise_full_pot
4,MCCFRAgent_1,0,fold
5,MCCFRAgent_1,4,all_in
5,MCCFRAgent_2,0,fold
6,MCCFRAgent_1,0,fold
7,MCCFRAgent_1,4,all_in
7,MCCFRAgent_2,0,fold
8,MCCFRAgent_1,1,call
8,MCCFRAgent_2,1,call
8,MCCFRAgent_1,0,fold
9,MCCFRAgent_1,1,call
9,MCCFRAgent_2,1,call
9,MCCFRAgent_1,1,call
9,MCCFRAgent_2,4,all_in
9,MCCFRAgent_1,1,call
10,MCCFRAgent_1,1,call
10,MCCFRAgent_2,0,fold
11,MCCFRAgent_1,3,raise_full_pot
11,MCCFRAgent_2,1,call
11,MCCFRAgent_1,0,fold
12,MCCFRAgent_1,0,fold
13,MCCFRAgent_1,1,call
13,MCCFRAgent_2,4,all_in
13,MCCFRAgent_1,1,call
14,MCCFRAgent_1,4,all_in
14,MCCFRAgent_2,0,fold
15,MCCFRAgent_1,4,all_in
15,MCCFRAgent_2,0,fold
16,MCCFRAgent_1,1,call
16,MCCFRAgent_2,1,call
16,MCCFRAgent_1,3,raise_full_pot
16,MCCFRAgent_2,1,call
16,MCCFRAgent_1,1,call
16,MCCFRAgent_2,4,all_in
16,MCCFRAgent_1,1,call
17,MCCFRAgent_1,0,fold
18,MCCFRAgent_1,3,raise_full_pot
18,MCCFRAgent_2,4,all_in
18,MCCFRAgent_1,1,call
19,MCCFRAgent_1,4,all_in
19,MCCFRAgent_2,0,fold
20,MCCFRAgent_1,4,all_in
20,MCCFRAgent_2,0,fold
21,MCCFRAgent_1,3,raise_full_pot
21,MCCFRAgent_2,0,fold
22,MCCFRAgent_1,3,raise_full_pot
22,MCCFRAgent_2,0,fold
23,MCCFRAgent_1,1,call
23,MCCFRAgent_2,4,all_in
23,MCCFRAgent_1,0,fold
24,MCCFRAgent_1,0,fold
25,MCCFRAgent_1,0,fold
26,MCCFRAgent_1,4,all_in
26,MCCFRAgent_2,0,fold
27,MCCFRAgent_1,1,call
27,MCCFRAgent_2,4,all_in
27,MCCFRAgent_1,1,call
28,MCCFRAgent_1,1,call
28,MCCFRAgent_2,3,raise_full_pot
28,MCCFRAgent_1,4,all_in
28,MCCFRAgent_2,0,fold
29,MCCFRAgent_1,4,all_in
29,MCCFRAgent_2,0,fold
30,MCCFRAgent_1,0,fold
31,MCCFRAgent_1,1,call
31,MCCFRAgent_2,0,fold
32,MCCFRAgent_1,4,all_in
32,MCCFRAgent_2,0,fold
33,MCCFRAgent_1,3,raise_full_pot
33,MCCFRAgent_2,3,raise_full_pot
33,MCCFRAgent_1,4,all_in
33,MCCFRAgent_2,0,fold
34,MCCFRAgent_1,4,all_in
34,MCCFRAgent_2,0,fold
35,MCCFRAgent_1,3,raise_full_pot
35,MCCFRAgent_2,3,raise_full_pot
35,MCCFRAgent_1,4,all_in
35,MCCFRAgent_2,0,fold
36,MCCFRAgent_1,1,call
36,MCCFRAgent_2,4,all_in
36,MCCFRAgent_1,1,call
37,MCCFRAgent_1,1,call
37,MCCFRAgent_2,3,raise_full_pot
37,MCCFRAgent_1,4,all_in
37,MCCFRAgent_2,1,call
38,MCCFRAgent_1,3,raise_full_pot
38,MCCFRAgent_2,0,fold
39,MCCFRAgent_1,4,all_in
39,MCCFRAgent_2,0,fold
40,MCCFRAgent_1,4,all_in
40,MCCFRAgent_2,0,fold
41,MCCFRAgent_1,0,fold
42,MCCFRAgent_1,3,raise_full_pot
42,MCCFRAgent_2,1,call
42,MCCFRAgent_1,4,all_in
42,MCCFRAgent_2,0,fold
43,MCCFRAgent_1,1,call
43,MCCFRAgent_2,0,fold
44,MCCFRAgent_1,3,raise_full_pot
44,MCCFRAgent_2,4,all_in
44,MCCFRAgent_1,1,call
45,MCCFRAgent_1,1,call
45,MCCFRAgent_2,3,raise_full_pot
45,MCCFRAgent_1,0,fold
46,MCCFRAgent_1,1,call
46,MCCFRAgent_2,2,raise_half_pot
46,MCCFRAgent_1,3,raise_full_pot
46,MCCFRAgent_2,1,call
46,MCCFRAgent_1,3,raise_full_pot
46,MCCFRAgent_2,1,call
46,MCCFRAgent_1,1,call
46,MCCFRAgent_2,1,call
46,MCCFRAgent_1,0,fold
47,MCCFRAgent_1,1,call
47,MCCFRAgent_2,4,all_in
47,MCCFRAgent_1,1,call
48,MCCFRAgent_1,0,fold
49,MCCFRAgent_1,4,all_in
49,MCCFRAgent_2,0,fold
50,MCCFRAgent_1,1,call
50,MCCFRAgent_2,4,all_in
50,MCCFRAgent_1,1,call
51,MCCFRAgent_1,3,raise_full_pot
51,MCCFRAgent_2,2,raise_half_pot
51,MCCFRAgent_1,1,call
51,MCCFRAgent_1,1,call
51,MCCFRAgent_2,0,fold
52,MCCFRAgent_1,1,call
52,MCCFRAgent_2,0,fold
53,MCCFRAgent_1,0,fold
54,MCCFRAgent_1,4,all_in
54,MCCFRAgent_2,0,fold
55,MCCFRAgent_1,3,raise_full_pot
55,MCCFRAgent_2,3,raise_full_pot
55,MCCFRAgent_1,0,fold
56,MCCFRAgent_1,0,fold
57,MCCFRAgent_1,4,all_in
57,MCCFRAgent_2,0,fold
58,MCCFRAgent_1,4,all_in
58,MCCFRAgent_2,0,fold
59,MCCFRAgent_1,3,raise_full_pot
59,MCCFRAgent_2,1,call
59,MCCFRAgent_1,4,all_in
59,MCCFRAgent_2,0,fold
60,MCCFRAgent_1,3,raise_full_pot
60,MCCFRAgent_2,0,fold
61,MCCFRAgent_1,4,all_in
61,MCCFRAgent_2,0,fold
62,MCCFRAgent_1,0,fold
63,MCCFRAgent_1,4,all_in
63,MCCFRAgent_2,1,call
64,MCCFRAgent_1,3,raise_full_pot
64,MCCFRAgent_2,3,raise_full_pot
64,MCCFRAgent_1,2,raise_half_pot
64,MCCFRAgent_2,0,fold
65,MCCFRAgent_1,4,all_in
65,MCCFRAgent_2,0,fold
66,MCCFRAgent_1,1,call
66,MCCFRAgent_2,1,call
66,MCCFRAgent_1,4,all_in
66,MCCFRAgent_2,1,call
67,MCCFRAgent_1,4,all_in
67,MCCFRAgent_2,0,fold
68,MCCFRAgent_1,4,all_in
68,MCCFRAgent_2,0,fold
69,MCCFRAgent_1,4,all_in
69,MCCFRAgent_2,0,fold
70,MCCFRAgent_1,1,call
70,MCCFRAgent_2,4,all_in
70,MCCFRAgent_1,1,call
71,MCCFRAgent_1,4,all_in
71,MCCFRAgent_2,1,call
72,MCCFRAgent_1,4,all_in
72,MCCFRAgent_2,0,fold
73,MCCFRAgent_1,4,all_in
73,MCCFRAgent_2,0,fold
74,MCCFRAgent_1,4,all_in
74,MCCFRAgent_2,0,fold
75,MCCFRAgent_1,1,call
75,MCCFRAgent_2,0,fold
76,MCCFRAgent_1,4,all_in
76,MCCFRAgent_2,0,fold
77,MCCFRAgent_1,4,all_in
77,MCCFRAgent_2,0,fold
78,MCCFRAgent_1,3,raise_full_pot
78,MCCFRAgent_2,2,raise_half_pot
78,MCCFRAgent_1,2,raise_half_pot
78,MCCFRAgent_2,3,raise_full_pot
78,MCCFRAgent_1,0,fold
79,MCCFRAgent_1,0,fold
80,MCCFRAgent_1,4,all_in
80,MCCFRAgent_2,0,fold
81,MCCFRAgent_1,0,fold
82,MCCFRAgent_1,4,all_in
82,MCCFRAgent_2,0,fold
83,MCCFRAgent_1,0,fold
84,MCCFRAgent_1,4,all_in
84,MCCFRAgent_2,0,fold
85,MCCFRAgent_1,1,call
85,MCCFRAgent_2,0,fold
86,MCCFRAgent_1,1,call
86,MCCFRAgent_2,1,call
86,MCCFRAgent_1,1,call
86,MCCFRAgent_2,4,all_in
86,MCCFRAgent_1,0,fold
87,MCCFRAgent_1,3,raise_full_pot
87,MCCFRAgent_2,4,all_in
87,MCCFRAgent_1,0,fold
88,MCCFRAgent_1,4,all_in
88,MCCFRAgent_2,0,fold
89,MCCFRAgent_1,3,raise_full_pot
89,MCCFRAgent_2,2,raise_half_pot
89,MCCFRAgent_1,0,fold
90,MCCFRAgent_1,0,fold
91,MCCFRAgent_1,0,fold
92,MCCFRAgent_1,1,call
92,MCCFRAgent_2,2,raise_half_pot
92,MCCFRAgent_1,3,raise_full_pot
92,MCCFRAgent_2,4,all_in
92,MCCFRAgent_1,0,fold
93,MCCFRAgent_1,4,all_in
93,MCCFRAgent_2,1,call
94,MCCFRAgent_1,3,raise_full_pot
94,MCCFRAgent_2,1,call
94,MCCFRAgent_1,3,raise_full_pot
94,MCCFRAgent_2,4,all_in
94,MCCFRAgent_1,1,call
95,MCCFRAgent_1,3,raise_full_pot
95,MCCFRAgent_2,2,raise_half_pot
95,MCCFRAgent_1,1,call
95,MCCFRAgent_1,4,all_in
95,MCCFRAgent_2,1,call
96,MCCFRAgent_1,3,raise_full_pot
96,MCCFRAgent_2,3,raise_full_pot
96,MCCFRAgent_1,3,raise_full_pot
96,MCCFRAgent_2,3,raise_full_pot
96,MCCFRAgent_1,0,fold
97,MCCFRAgent_1,3,raise_full_pot
97,MCCFRAgent_2,3,raise_full_pot
97,MCCFRAgent_1,4,all_in
97,MCCFRAgent_2,0,fold
98,MCCFRAgent_1,4,all_in
98,MCCFRAgent_2,0,fold
99,MCCFRAgent_1,0,fold
100,MCCFRAgent_1,1,call
100,MCCFRAgent_2,0,fold
101,MCCFRAgent_1,4,all_in
101,MCCFRAgent_2,1,call
102,MCCFRAgent_1,1,call
102,MCCFRAgent_2,2,raise_half_pot
102,MCCFRAgent_1,0,fold
103,MCCFRAgent_1,3,raise_full_pot
103,MCCFRAgent_2,0,fold
104,MCCFRAgent_1,0,fold
105,MCCFRAgent_1,0,fold
106,MCCFRAgent_1,3,raise_full_pot
106,MCCFRAgent_2,0,fold
107,MCCFRAgent_1,1,call
107,MCCFRAgent_2,4,all_in
107,MCCFRAgent_1,1,call
108,MCCFRAgent_1,0,fold
109,MCCFRAgent_1,3,raise_full_pot
109,MCCFRAgent_2,3,raise_full_pot
109,MCCFRAgent_1,0,fold
110,MCCFRAgent_1,3,raise_full_pot
110,MCCFRAgent_2,3,raise_full_pot
110,MCCFRAgent_1,4,all_in
110,MCCFRAgent_2,0,fold
111,MCCFRAgent_1,1,call
111,MCCFRAgent_2,3,raise_full_pot
111,MCCFRAgent_1,0,fold
112,MCCFRAgent_1,0,fold
113,MCCFRAgent_1,3,raise_full_pot
113,MCCFRAgent_2,0,fold
114,MCCFRAgent_1,4,all_in
114,MCCFRAgent_2,0,fold
115,MCCFRAgent_1,0,fold
116,MCCFRAgent_1,0,fold
117,MCCFRAgent_1,4,all_in
117,MCCFRAgent_2,0,fold
118,MCCFRAgent_1,1,call
118,MCCFRAgent_2,3,raise_full_pot
118,MCCFRAgent_1,4,all_in
118,MCCFRAgent_2,0,fold
119,MCCFRAgent_1,3,raise_full_pot
119,MCCFRAgent_2,4,all_in
119,MCCFRAgent_1,0,fold
120,MCCFRAgent_1,3,raise_full_pot
120,MCCFRAgent_2,3,raise_full_pot
120,MCCFRAgent_1,4,all_in
120,MCCFRAgent_2,1,call
121,MCCFRAgent_1,1,call
121,MCCFRAgent_2,2,raise_half_pot
121,MCCFRAgent_1,1,call
121,MCCFRAgent_1,0,fold
122,MCCFRAgent_1,3,raise_full_pot
122,MCCFRAgent_2,2,raise_half_pot
122,MCCFRAgent_1,4,all_in
122,MCCFRAgent_2,0,fold
123,MCCFRAgent_1,1,call
123,MCCFRAgent_2,3,raise_full_pot
123,MCCFRAgent_1,1,call
123,MCCFRAgent_1,4,all_in
123,MCCFRAgent_2,0,fold
124,MCCFRAgent_1,3,raise_full_pot
124,MCCFRAgent_2,2,raise_half_pot
124,MCCFRAgent_1,3,raise_full_pot
124,MCCFRAgent_2,0,fold
125,MCCFRAgent_1,1,call
125,MCCFRAgent_2,0,fold
126,MCCFRAgent_1,4,all_in
126,MCCFRAgent_2,1,call
127,MCCFRAgent_1,4,all_in
127,MCCFRAgent_2,0,fold
128,MCCFRAgent_1,1,call
128,MCCFRAgent_2,4,all_in
128,MCCFRAgent_1,1,call
129,MCCFRAgent_1,1,call
129,MCCFRAgent_2,0,fold
130,MCCFRAgent_1,3,raise_full_pot
130,MCCFRAgent_2,1,call
130,MCCFRAgent_1,4,all_in
130,MCCFRAgent_2,1,call
131,MCCFRAgent_1,1,call
131,MCCFRAgent_2,1,call
131,MCCFRAgent_1,2,raise_half_pot
131,MCCFRAgent_2,2,raise_half_pot
131,MCCFRAgent_1,2,raise_half_pot
131,MCCFRAgent_2,4,all_in
131,MCCFRAgent_1,1,call
132,MCCFRAgent_1,0,fold
133,MCCFRAgent_1,4,all_in
133,MCCFRAgent_2,0,fold
134,MCCFRAgent_1,4,all_in
134,MCCFRAgent_2,0,fold
135,MCCFRAgent_1,0,fold
136,MCCFRAgent_1,4,all_in
136,MCCFRAgent_2,0,fold
137,MCCFRAgent_1,4,all_in
137,MCCFRAgent_2,0,fold
138,MCCFRAgent_1,1,call
138,MCCFRAgent_2,1,call
138,MCCFRAgent_1,2,raise_half_pot
138,MCCFRAgent_2,1,call
138,MCCFRAgent_1,1,call
138,MCCFRAgent_2,4,all_in
138,MCCFRAgent_1,1,call
139,MCCFRAgent_1,4,all_in
139,MCCFRAgent_2,0,fold
140,MCCFRAgent_1,0,fold
141,MCCFRAgent_1,4,all_in
141,MCCFRAgent_2,0,fold
142,MCCFRAgent_1,4,all_in
142,MCCFRAgent_2,0,fold
143,MCCFRAgent_1,3,raise_full_pot
143,MCCFRAgent_2,3,raise_full_pot
143,MCCFRAgent_1,1,call
143,MCCFRAgent_1,3,raise_full_pot
143,MCCFRAgent_2,1,call
143,MCCFRAgent_1,2,raise_half_pot
143,MCCFRAgent_2,1,call
143,MCCFRAgent_1,2,raise_half_pot
143,MCCFRAgent_2,1,call
144,MCCFRAgent_1,1,call
144,MCCFRAgent_2,4,all_in
144,MCCFRAgent_1,1,call
145,MCCFRAgent_1,1,call
145,MCCFRAgent_2,4,all_in
145,MCCFRAgent_1,0,fold
146,MCCFRAgent_1,0,fold
147,MCCFRAgent_1,3,raise_full_pot
147,MCCFRAgent_2,1,call
147,MCCFRAgent_1,1,call
147,MCCFRAgent_2,0,fold
148,MCCFRAgent_1,3,raise_full_pot
148,MCCFRAgent_2,0,fold
149,MCCFRAgent_1,1,call
149,MCCFRAgent_2,2,raise_half_pot
149,MCCFRAgent_1,3,raise_full_pot
149,MCCFRAgent_2,2,raise_half_pot
149,MCCFRAgent_1,3,raise_full_pot
149,MCCFRAgent_2,0,fold
150,MCCFRAgent_1,3,raise_full_pot
150,MCCFRAgent_2,1,call
150,MCCFRAgent_1,0,fold
151,MCCFRAgent_1,0,fold
152,MCCFRAgent_1,3,raise_full_pot
152,MCCFRAgent_2,2,raise_half_pot
152,MCCFRAgent_1,2,raise_half_pot
152,MCCFRAgent_2,3,raise_full_pot
152,MCCFRAgent_1,4,all_in
152,MCCFRAgent_2,1,call
153,MCCFRAgent_1,1,call
