game_num,agent_name,chip_delta,won
0,MCCFRAgent_1,0,False
0,MCCFRAgent_2,0,False
1,MCCFRAgent_1,-4,False
1,MCCFRAgent_2,4,True
2,MCCFRAgent_1,-100,False
2,MCCFRAgent_2,100,True
3,MCCFRAgent_1,100,True
3,MCCFRAgent_2,-100,False
4,MCCFRAgent_1,-24,False
4,MCCFRAgent_2,24,True
5,MCCFRAgent_1,2,True
5,MCCFRAgent_2,-2,False
6,MCCFRAgent_1,-1,False
6,MCCFRAgent_2,1,True
7,MCCFRAgent_1,2,True
7,MCCFRAgent_2,-2,False
8,MCCFRAgent_1,-2,False
8,MCCFRAgent_2,2,True
9,MCCFRAgent_1,0,False
9,MCCFRAgent_2,0,False
10,MCCFRAgent_1,2,True
10,MCCFRAgent_2,-2,False
11,MCCFRAgent_1,-4,False
11,MCCFRAgent_2,4,True
12,MCCFRAgent_1,-1,False
12,MCCFRAgent_2,1,True
13,MCCFRAgent_1,100,True
13,MCCFRAgent_2,-100,False
14,MCCFRAgent_1,2,True
14,MCCFRAgent_2,-2,False
15,MCCFRAgent_1,2,True
15,MCCFRAgent_2,-2,False
16,MCCFRAgent_1,100,True
16,MCCFRAgent_2,-100,False
17,MCCFRAgent_1,-1,False
17,MCCFRAgent_2,1,True
18,MCCFRAgent_1,100,True
18,MCCFRAgent_2,-100,False
19,MCCFRAgent_1,2,True
19,MCCFRAgent_2,-2,False
20,MCCFRAgent_1,2,True
20,MCCFRAgent_2,-2,False
21,MCCFRAgent_1,2,True
21,MCCFRAgent_2,-2,False
22,MCCFRAgent_1,2,True
22,MCCFRAgent_2,-2,False
23,MCCFRAgent_1,-2,False
23,MCCFRAgent_2,2,True
24,MCCFRAgent_1,-1,False
24,MCCFRAgent_2,1,True
25,MCCFRAgent_1,-1,False
25,MCCFRAgent_2,1,True
26,MCCFRAgent_1,2,True
26,MCCFRAgent_2,-2,False
27,MCCFRAgent_1,-100,False
27,MCCFRAgent_2,100,True
28,MCCFRAgent_1,6,True
28,MCCFRAgent_2,-6,False
29,MCCFRAgent_1,2,True
29,MCCFRAgent_2,-2,False
30,MCCFRAgent_1,-1,False
30,MCCFRAgent_2,1,True
31,MCCFRAgent_1,2,True
31,MCCFRAgent_2,-2,False
32,MCCFRAgent_1,2,True
32,MCCFRAgent_2,-2,False
33,MCCFRAgent_1,8,True
33,MCCFRAgent_2,-8,False
34,MCCFRAgent_1,2,True
34,MCCFRAgent_2,-2,False
35,MCCFRAgent_1,8,True
35,MCCFRAgent_2,-8,False
36,MCCFRAgent_1,100,True
36,MCCFRAgent_2,-100,False
37,MCCFRAgent_1,100,True
37,MCCFRAgent_2,-100,False
38,MCCFRAgent_1,2,True
38,MCCFRAgent_2,-2,False
39,MCCFRAgent_1,2,True
39,MCCFRAgent_2,-2,False
40,MCCFRAgent_1,2,True
40,MCCFRAgent_2,-2,False
41,MCCFRAgent_1,-1,False
41,MCCFRAgent_2,1,True
42,MCCFRAgent_1,4,True
42,MCCFRAgent_2,-4,False
43,MCCFRAgent_1,2,True
43,MCCFRAgent_2,-2,False
44,MCCFRAgent_1,-100,False
44,MCCFRAgent_2,100,True
45,MCCFRAgent_1,-2,False
45,MCCFRAgent_2,2,True
46,MCCFRAgent_1,-24,False
46,MCCFRAgent_2,24,True
47,MCCFRAgent_1,100,True
47,MCCFRAgent_2,-100,False
48,MCCFRAgent_1,-1,False
48,MCCFRAgent_2,1,True
49,MCCFRAgent_1,2,True
49,MCCFRAgent_2,-2,False
50,MCCFRAgent_1,-100,False
50,MCCFRAgent_2,100,True
51,MCCFRAgent_1,5,True
51,MCCFRAgent_2,-5,False
52,MCCFRAgent_1,2,True
52,MCCFRAgent_2,-2,False
53,MCCFRAgent_1,-1,False
53,MCCFRAgent_2,1,True
54,MCCFRAgent_1,2,True
54,MCCFRAgent_2,-2,False
55,MCCFRAgent_1,-4,False
55,MCCFRAgent_2,4,True
56,MCCFRAgent_1,-1,False
56,MCCFRAgent_2,1,True
57,MCCFRAgent_1,2,True
57,MCCFRAgent_2,-2,False
58,MCCFRAgent_1,2,True
58,MCCFRAgent_2,-2,False
59,MCCFRAgent_1,4,True
59,MCCFRAgent_2,-4,False
60,MCCFRAgent_1,2,True
60,MCCFRAgent_2,-2,False
61,MCCFRAgent_1,2,True
61,MCCFRAgent_2,-2,False
62,MCCFRAgent_1,-1,False
62,MCCFRAgent_2,1,True
63,MCCFRAgent_1,100,True
63,MCCFRAgent_2,-100,False
64,MCCFRAgent_1,8,True
64,MCCFRAgent_2,-8,False
65,MCCFRAgent_1,2,True
65,MCCFRAgent_2,-2,False
66,MCCFRAgent_1,100,True
66,MCCFRAgent_2,-100,False
67,MCCFRAgent_1,2,True
