game_num,agent_name,chip_delta,won
0,MCCFRAgent,-100,False
0,HeuristicAgent,100,True
1,MCCFRAgent,2,True
1,HeuristicAgent,-2,False
2,MCCFRAgent,-16,False
2,HeuristicAgent,16,True
3,MCCFRAgent,4,True
3,HeuristicAgent,-4,False
4,MCCFRAgent,-20,False
4,HeuristicAgent,20,True
5,MCCFRAgent,0,False
5,HeuristicAgent,0,False
6,MCCFRAgent,100,True
6,HeuristicAgent,-100,False
7,MCCFRAgent,12,True
7,HeuristicAgent,-12,False
8,MCCFRAgent,-64,False
8,HeuristicAgent,64,True
9,MCCFRAgent,100,True
9,HeuristicAgent,-100,False
10,MCCFRAgent,16,True
10,HeuristicAgent,-16,False
11,MCCFRAgent,-100,False
11,HeuristicAgent,100,True
12,MCCFRAgent,-40,False
12,HeuristicAgent,40,True
13,MCCFRAgent,-100,False
13,HeuristicAgent,100,True
14,MCCFRAgent,-32,False
14,HeuristicAgent,32,True
15,MCCFRAgent,2,True
15,HeuristicAgent,-2,False
16,MCCFRAgent,71,True
16,HeuristicAgent,-71,False
17,MCCFRAgent,-4,False
17,HeuristicAgent,4,True
18,MCCFRAgent,100,True
18,HeuristicAgent,-100,False
19,MCCFRAgent,2,True
19,HeuristicAgent,-2,False
20,MCCFRAgent,100,True
20,HeuristicAgent,-100,False
21,MCCFRAgent,100,True
21,HeuristicAgent,-100,False
22,MCCFRAgent,-40,False
22,HeuristicAgent,40,True
23,MCCFRAgent,2,True
23,HeuristicAgent,-2,False
24,MCCFRAgent,-100,False
24,HeuristicAgent,100,True
25,MCCFRAgent,16,True
25,HeuristicAgent,-16,False
26,MCCFRAgent,2,True
26,HeuristicAgent,-2,False
27,MCCFRAgent,24,True
27,HeuristicAgent,-24,False
28,MCCFRAgent,100,True
28,HeuristicAgent,-100,False
29,MCCFRAgent,2,True
29,HeuristicAgent,-2,False
30,MCCFRAgent,100,True
30,HeuristicAgent,-100,False
31,MCCFRAgent,80,True
31,HeuristicAgent,-80,False
32,MCCFRAgent,-100,False
32,HeuristicAgent,100,True
33,MCCFRAgent,-100,False
33,HeuristicAgent,100,True
34,MCCFRAgent,2,True
34,HeuristicAgent,-2,False
35,MCCFRAgent,6,True
35,HeuristicAgent,-6,False
36,MCCFRAgent,100,True
36,HeuristicAgent,-100,False
37,MCCFRAgent,-100,False
37,HeuristicAgent,100,True
38,MCCFRAgent,100,True
38,HeuristicAgent,-100,False
39,MCCFRAgent,2,True
39,HeuristicAgent,-2,False
40,MCCFRAgent,-2,False
40,HeuristicAgent,2,True
41,MCCFRAgent,16,True
41,HeuristicAgent,-16,False
42,MCCFRAgent,2,True
